Year,Total Renewable Energy,Sector,Data Time
1973,6.709,Commerical,1973-12-12
1974,7.018,Commerical,1974-12-12
1975,8.066,Commerical,1975-12-12
1976,9.102,Commerical,1976-12-12
1977,10.287,Commerical,1977-12-12
1978,11.835,Commerical,1978-12-12
1979,13.811,Commerical,1979-12-12
1980,21.001,Commerical,1980-12-12
1981,21.051,Commerical,1981-12-12
1982,22.134,Commerical,1982-12-12
1983,22.277,Commerical,1983-12-12
1984,22.35,Commerical,1984-12-12
1985,24.372,Commerical,1985-12-12
1986,27.466,Commerical,1986-12-12
1987,29.541,Commerical,1987-12-12
1988,32.538,Commerical,1988-12-12
1989,101.758,Commerical,1989-12-12
1990,97.323,Commerical,1990-12-12
1991,98.876,Commerical,1991-12-12
1992,108.628,Commerical,1992-12-12
1993,113.001,Commerical,1993-12-12
1994,111.021,Commerical,1994-12-12
1995,117.716,Commerical,1995-12-12
1996,134.679,Commerical,1996-12-12
1997,137.516,Commerical,1997-12-12
1998,126.111,Commerical,1998-12-12
1999,128.001,Commerical,1999-12-12
2000,127.223,Commerical,2000-12-12
2001,100.378,Commerical,2001-12-12
2002,104.053,Commerical,2002-12-12
2003,112.837,Commerical,2003-12-12
2004,118.056,Commerical,2004-12-12
2005,119.584,Commerical,2005-12-12
2006,117.815,Commerical,2006-12-12
2007,118.555,Commerical,2007-12-12
2008,126.131,Commerical,2008-12-12
2009,131.239,Commerical,2009-12-12
2010,133.586,Commerical,2010-12-12
2011,141.143,Commerical,2011-12-12
2012,139.413,Commerical,2012-12-12
2013,154.979,Commerical,2013-12-12
2014,165.899,Commerical,2014-12-12
2015,192.96,Commerical,2015-12-12
2016,201.376,Commerical,2016-12-12
2017,205.395,Commerical,2017-12-12
2018,212.881,Commerical,2018-12-12
2019,211.273,Commerical,2019-12-12
2020,215.397,Commerical,2020-12-12
2021,225.142,Commerical,2021-12-12
2022,273.558,Commerical,2022-12-12
2023,274.657,Commerical,2023-12-12
1973,1176.274,Industrial,1973-12-12
1974,1169.922,Industrial,1974-12-12
1975,1073.867,Industrial,1975-12-12
1976,1230.852,Industrial,1976-12-12
1977,1291.904,Industrial,1977-12-12
1978,1410.816,Industrial,1978-12-12
1979,1416.098,Industrial,1979-12-12
1980,1610.786,Industrial,1980-12-12
1981,1705.45,Industrial,1981-12-12
1982,1660.467,Industrial,1982-12-12
1983,1885.221,Industrial,1983-12-12
1984,1929.04,Industrial,1984-12-12
1985,1928.459,Industrial,1985-12-12
1986,1925.687,Industrial,1986-12-12
1987,1924.667,Industrial,1987-12-12
1988,1999.888,Industrial,1988-12-12
1989,1851.848,Industrial,1989-12-12
1990,1696.249,Industrial,1990-12-12
1991,1663.801,Industrial,1991-12-12
1992,1716.815,Industrial,1992-12-12
1993,1752.919,Industrial,1993-12-12
1994,1885.769,Industrial,1994-12-12
1995,1955.39,Industrial,1995-12-12
1996,1992.01,Industrial,1996-12-12
1997,2018.521,Industrial,1997-12-12
1998,1892.971,Industrial,1998-12-12
1999,1901.893,Industrial,1999-12-12
2000,1900.034,Industrial,2000-12-12
2001,1696.967,Industrial,2001-12-12
2002,1693.872,Industrial,2002-12-12
2003,1696.084,Industrial,2003-12-12
2004,1829.94,Industrial,2004-12-12
2005,1849.426,Industrial,2005-12-12
2006,1906.471,Industrial,2006-12-12
2007,1947.115,Industrial,2007-12-12
2008,2023.431,Industrial,2008-12-12
2009,1959.396,Industrial,2009-12-12
2010,2331.063,Industrial,2010-12-12
2011,2386.527,Industrial,2011-12-12
2012,2363.365,Industrial,2012-12-12
2013,2426.673,Industrial,2013-12-12
2014,2478.362,Industrial,2014-12-12
2015,2488.546,Industrial,2015-12-12
2016,2502.954,Industrial,2016-12-12
2017,2492.856,Industrial,2017-12-12
2018,2488.978,Industrial,2018-12-12
2019,2435.225,Industrial,2019-12-12
2020,2291.948,Industrial,2020-12-12
2021,2357.038,Industrial,2021-12-12
2022,2319.759,Industrial,2022-12-12
2023,2249.339,Industrial,2023-12-12
1973,354.098,Residential,1973-12-12
1974,370.955,Residential,1974-12-12
1975,425.411,Residential,1975-12-12
1976,481.632,Residential,1976-12-12
1977,541.779,Residential,1977-12-12
1978,621.852,Residential,1978-12-12
1979,728.079,Residential,1979-12-12
1980,850.003,Residential,1980-12-12
1981,869.998,Residential,1981-12-12
1982,970.003,Residential,1982-12-12
1983,970.003,Residential,1983-12-12
1984,979.997,Residential,1984-12-12
1985,1010.002,Residential,1985-12-12
1986,919.998,Residential,1986-12-12
1987,850.001,Residential,1987-12-12
1988,910.003,Residential,1988-12-12
1989,976.582,Residential,1989-12-12
1990,640.145,Residential,1990-12-12
1991,672.255,Residential,1991-12-12
1992,704.772,Residential,1992-12-12
1993,616.812,Residential,1993-12-12
1994,587.848,Residential,1994-12-12
1995,589.184,Residential,1995-12-12
1996,610.14,Residential,1996-12-12
1997,499.781,Residential,1997-12-12
1998,449.273,Residential,1998-12-12
1999,458.623,Residential,1999-12-12
2000,486.044,Residential,2000-12-12
2001,434.295,Residential,2001-12-12
2002,443.119,Residential,2002-12-12
2003,464.374,Residential,2003-12-12
2004,474.597,Residential,2004-12-12
2005,495.267,Residential,2005-12-12
2006,449.65,Residential,2006-12-12
2007,495.433,Residential,2007-12-12
2008,552.254,Residential,2008-12-12
2009,593.2,Residential,2009-12-12
2010,636.332,Residential,2010-12-12
2011,626.097,Residential,2011-12-12
2012,543.972,Residential,2012-12-12
2013,682.962,Residential,2013-12-12
2014,697.379,Residential,2014-12-12
2015,639.214,Residential,2015-12-12
2016,584.074,Residential,2016-12-12
2017,581.702,Residential,2017-12-12
2018,687.896,Residential,2018-12-12
2019,721.493,Residential,2019-12-12
2020,535.895,Residential,2020-12-12
2021,552.554,Residential,2021-12-12
2022,661.742,Residential,2022-12-12
2023,724.69,Residential,2023-12-12
1973,938.466,Electric Power,1973-12-12
1974,1038.107,Electric Power,1974-12-12
1975,1036.823,Electric Power,1975-12-12
1976,983.113,Electric Power,1976-12-12
1977,769.5,Electric Power,1977-12-12
1978,970.447,Electric Power,1978-12-12
1979,973.042,Electric Power,1979-12-12
1980,963.592,Electric Power,1980-12-12
1981,912.698,Electric Power,1981-12-12
1982,1074.913,Electric Power,1982-12-12
1983,1157.947,Electric Power,1983-12-12
1984,1131.465,Electric Power,1984-12-12
1985,1005.601,Electric Power,1985-12-12
1986,1039.885,Electric Power,1986-12-12
1987,904.163,Electric Power,1987-12-12
1988,813.133,Electric Power,1988-12-12
1989,1207.857,Electric Power,1989-12-12
1990,1368.576,Electric Power,1990-12-12
1991,1396.404,Electric Power,1991-12-12
1992,1321.789,Electric Power,1992-12-12
1993,1430.647,Electric Power,1993-12-12
1994,1366.983,Electric Power,1994-12-12
1995,1521.863,Electric Power,1995-12-12
1996,1664.009,Electric Power,1996-12-12
1997,1705.593,Electric Power,1997-12-12
1998,1591.502,Electric Power,1998-12-12
1999,1594.445,Electric Power,1999-12-12
2000,1447.411,Electric Power,2000-12-12
2001,1138.173,Electric Power,2001-12-12
2002,1355.438,Electric Power,2002-12-12
2003,1412.776,Electric Power,2003-12-12
2004,1393.22,Electric Power,2004-12-12
2005,1429.61,Electric Power,2005-12-12
2006,1531.34,Electric Power,2006-12-12
2007,1431.836,Electric Power,2007-12-12
2008,1541.318,Electric Power,2008-12-12
2009,1673.738,Electric Power,2009-12-12
2010,1720.161,Electric Power,2010-12-12
2011,1988.146,Electric Power,2011-12-12
2012,1934.594,Electric Power,2012-12-12
2013,2029.916,Electric Power,2013-12-12
2014,2143.074,Electric Power,2014-12-12
2015,2157.712,Electric Power,2015-12-12
2016,2362.697,Electric Power,2016-12-12
2017,2629.879,Electric Power,2017-12-12
2018,2689.08,Electric Power,2018-12-12
2019,2729.237,Electric Power,2019-12-12
2020,2901.833,Electric Power,2020-12-12
2021,3013.55,Electric Power,2021-12-12
2022,3262.642,Electric Power,2022-12-12
2023,3207.481,Electric Power,2023-12-12
